#redshift 	 LCOprime 
0.0	0.0
0.0004	29906.8772158
0.0008	119654.756213
0.0012	269284.466208
0.0016	478836.780694
0.002	748352.417451
0.0024	1077872.03857
0.0028	1467436.25045
0.0032	1917085.60385
0.0036	2426860.59388
0.004	2996801.66002
0.0044	3626949.18615
0.0048	4317343.50054
0.0052	5068024.87591
0.0056	5879033.52942
0.006	6750409.62267
0.0064	7682193.26177
0.0068	8674424.49729
0.0072	9727143.32435
0.0076	10840389.6826
0.008	12014203.4562
0.0084	13248624.4739
0.0088	14543692.509
0.0092	15899447.2795
0.0096	17315928.448
0.01	18793175.6216
0.0104	20331228.3522
0.0108	21930126.1363
0.0112	23589908.4152
0.0116	25310614.5748
0.012	27092283.9457
0.0124	28934955.8034
0.0128	30838669.3681
0.0132	32803463.8047
0.0136	34829378.223
0.014	36916451.6776
0.0144	39064723.1679
0.0148	41274231.6382
0.0152	43545015.9777
0.0156	45877115.0205
0.016	48270567.5456
0.0164	50725412.2768
0.0168	53241687.8831
0.0172	55819432.9784
0.0176	58458686.1214
0.018	61159485.816
0.0184	63921870.5112
0.0188	66745878.6009
0.0192	69631548.424
0.0196	72578918.2647
0.02	75588026.3523
0.0204	78658910.8609
0.0208	81791609.9103
0.0212	84986161.5649
0.0216	88242603.8347
0.022	91560974.6747
0.0224	94941311.9852
0.0228	98383653.6117
0.0232	101888037.345
0.0236	105454500.921
0.024	109083082.022
0.0244	112773818.274
0.0248	116526747.248
0.0252	120341906.464
0.0256	124219333.382
0.026	128159065.413
0.0264	132161139.908
0.0268	136225594.169
0.0272	140352465.438
0.0276	144541790.906
0.028	148793607.709
0.0284	153107952.928
0.0288	157484863.589
0.0292	161924376.666
0.0296	166426529.075
0.03	170991357.68
0.0304	175618899.29
0.0308	180309190.66
0.0312	185062268.491
0.0316	189878169.428
0.032	194756930.064
0.0324	199698586.936
0.0328	204703176.527
0.0332	209770735.267
0.0336	214901299.531
0.034	220094905.639
0.0344	225351589.858
0.0348	230671388.401
0.0352	236054337.426
0.0356	241500473.037
0.036	247009831.285
0.0364	252582448.166
0.0368	258218359.622
0.0372	263917601.541
0.0376	269680209.758
0.038	275506220.053
0.0384	281395668.152
0.0388	287348589.727
0.0392	293365020.398
0.0396	299444995.729
0.04	305588551.231
0.0404	311795722.36
0.0408	318066544.521
0.0412	324401053.062
0.0416	330799283.28
0.042	337261270.416
0.0424	343787049.658
0.0428	350376656.142
0.0432	357030124.947
0.0436	363747491.103
0.044	370528789.581
0.0444	377374055.302
0.0448	384283323.134
0.0452	391256627.888
0.0456	398294004.324
0.046	405395487.148
0.0464	412561111.013
0.0468	419790910.517
0.0472	427084920.207
0.0476	434443174.574
0.048	441865708.057
0.0484	449352555.042
0.0488	456903749.86
0.0492	464519326.792
0.0496	472199320.061
0.05001	479943763.84
0.05041	487752692.248
0.05081	495626139.352
0.05121	503564139.163
0.05161	511566725.641
0.05201	519633932.692
0.05241	527765794.17
0.05281	535962343.874
0.05321	544223615.551
0.05361	552549642.896
0.05401	560940459.549
0.05441	569396099.097
0.05481	577916595.076
0.05521	586501980.969
0.05561	595152290.203
0.05601	603867556.154
0.05641	612647812.147
0.05681	621493091.452
0.05721	630403427.285
0.05761	639378852.812
0.05801	648419401.145
0.05841	657525105.342
0.05881	666695998.41
0.05921	675932113.304
0.05961	685233482.923
0.06001	694600140.117
0.06041	704032117.681
0.06081	713529448.358
0.06121	723092164.839
0.06161	732720299.761
0.06201	742413885.711
0.06241	752172955.22
0.06281	761997540.771
0.06321	771887674.79
0.06361	781843389.653
0.06401	791864717.683
0.06441	801951691.151
0.06481	812104342.276
0.06521	822322703.224
0.06561	832606806.107
0.06601	842956682.988
0.06641	853372365.877
0.06681	863853886.729
0.06721	874401277.45
0.06761	885014569.892
0.06801	895693795.856
0.06841	906438987.09
0.06881	917250175.291
0.06921	928127392.102
0.06961	939070669.115
0.07001	950080037.871
0.07041	961155529.858
0.07081	972297176.512
0.07121	983505009.217
0.07161	994779059.305
0.07201	1006119358.06
0.07241	1017525936.7
0.07281	1028998826.41
0.07321	1040538058.32
0.07361	1052143663.49
0.07401	1063815672.95
0.07441	1075554117.67
0.07481	1087359028.56
0.07521	1099230436.49
0.07561	1111168372.28
0.07601	1123172866.69
0.07641	1135243950.42
0.07681	1147381654.15
0.07721	1159586008.47
0.07761	1171857043.95
0.07801	1184194791.09
0.07841	1196599280.34
0.07881	1209070542.1
0.07921	1221608606.73
0.07961	1234213504.53
0.08001	1246885265.74
0.08041	1259623920.56
0.08081	1272429499.13
0.08121	1285302031.55
0.08161	1298241547.87
0.08201	1311248078.07
0.08241	1324321652.09
0.08281	1337462299.83
0.08321	1350670051.12
0.08361	1363944935.75
0.08401	1377286983.45
0.08441	1390696223.91
0.08481	1404172686.76
0.08521	1417716401.6
0.08561	1431327397.93
0.08601	1445005705.26
0.08641	1458751353.01
