#redshift 	 LCOprime 
0.0	0.0
0.00501	24261708.067
0.01001	97319420.2277
0.01502	219576746.21
0.02002	391430288.88
0.02503	613269673.675
0.03003	885477579.216
0.03504	1208429769.07
0.04004	1582495124.61
0.04505	2008035679.03
0.05005	2485406652.36
0.05506	3014956487.55
0.06006	3597026887.63
0.06507	4231952853.73
0.07007	4920062724.23
0.07508	5661678214.68
0.08008	6457114458.76
0.08509	7306680050.06
0.09009	8210677084.72
0.0951	9169401204.88
0.1001	10183141643.0
0.10511	11252181267.0
0.11011	12376796625.6
0.11512	13557257995.7
0.12012	14793829428.6
0.12513	16086768798.6
0.13013	17436327851.2
0.13514	18842752252.2
0.14014	20306281637.5
0.14515	21827149663.6
0.15015	23405584057.8
0.15516	25041806670.1
0.16016	26736033524.6
0.16517	28488474872.1
0.17017	30299335242.4
0.17518	32168813497.7
0.18018	34097102885.7
0.18519	36084391094.0
0.19019	38130860303.7
0.1952	40236687243.9
0.2002	42402043246.9
0.20521	44627094302.9
0.21021	46912001115.0
0.21522	49256919155.3
0.22022	51661998719.8
0.22523	54127384984.8
0.23023	56653218062.9
0.23524	59239633058.7
0.24024	61886760125.0
0.24525	64594724519.9
0.25025	67363646662.1
0.25526	70193642188.2
0.26026	73084822008.5
0.26527	76037292364.0
0.27027	79051154882.6
0.27528	82126506635.5
0.28028	85263440193.7
0.28529	88462043684.2
0.29029	91722400846.4
0.2953	95044591088.3
0.3003	98428689542.4
0.30531	101874767122.0
0.31031	105382890575.0
0.31532	108953122545.0
0.32032	112585521618.0
0.32533	116280142387.0
0.33033	120037035501.0
0.33534	123856247721.0
0.34034	127737821976.0
0.34535	131681797417.0
0.35035	135688209471.0
0.35536	139757089894.0
0.36036	143888466826.0
0.36537	148082364843.0
0.37037	152338805013.0
0.37538	156657804945.0
0.38038	161039378843.0
0.38539	165483537559.0
0.39039	169990288646.0
0.3954	174559636403.0
0.4004	179191581936.0
0.40541	183886123200.0
0.41041	188643255055.0
0.41542	193462969312.0
0.42042	198345254788.0
0.42543	203290097349.0
0.43043	208297479964.0
0.43544	213367382751.0
0.44044	218499783026.0
0.44545	223694655350.0
0.45045	228951971576.0
0.45546	234271700900.0
0.46046	239653809900.0
0.46547	245098262589.0
0.47047	250605020458.0
0.47548	256174042520.0
0.48048	261805285357.0
0.48549	267498703162.0
0.49049	273254247787.0
0.4955	279071868780.0
0.5005	284951513436.0
0.50551	290893126833.0
0.51051	296896651876.0
0.51552	302962029341.0
0.52052	309089197915.0
0.52553	315278094236.0
0.53053	321528652931.0
0.53554	327840806664.0
0.54054	334214486166.0
0.54555	340649620280.0
0.55055	347146135998.0
0.55556	353703958497.0
0.56056	360323011182.0
0.56557	367003215718.0
0.57057	373744492067.0
0.57558	380546758530.0
0.58058	387409931774.0
0.58559	394333926875.0
0.59059	401318657352.0
0.5956	408364035196.0
0.6006	415469970909.0
0.60561	422636373539.0
0.61061	429863150707.0
0.61562	437150208646.0
0.62062	444497452231.0
0.62563	451904785008.0
0.63063	459372109233.0
0.63564	466899325893.0
0.64064	474486334745.0
0.64565	482133034344.0
0.65065	489839322069.0
0.65566	497605094156.0
0.66066	505430245729.0
0.66567	513314670822.0
0.67067	521258262413.0
0.67568	529260912448.0
0.68068	537322511872.0
0.68569	545442950651.0
0.69069	553622117804.0
0.6957	561859901425.0
0.7007	570156188708.0
0.70571	578510865979.0
0.71071	586923818712.0
0.71572	595394931560.0
0.72072	603924088376.0
0.72573	612511172239.0
0.73073	621156065476.0
0.73574	629858649684.0
0.74074	638618805755.0
0.74575	647436413898.0
0.75075	656311353659.0
0.75576	665243503943.0
