#redshift 	 LCOprime 
0.0	0.0
0.0004	1464572.62148
0.0008	5859624.81854
0.0012	13187156.0428
0.0016	23449163.017
0.002	36647639.7355
0.0024	52784577.4653
0.0028	71861964.747
0.0032	93881787.3954
0.0036	118846028.5
0.004	146756668.428
0.0044	177615684.821
0.0048	211425052.599
0.0052	248186743.961
0.0056	287902728.387
0.006	330574972.633
0.0064	376205440.739
0.0068	424796094.028
0.0072	476348891.102
0.0076	530865787.85
0.008	588348737.444
0.0084	648799690.342
0.0088	712220594.287
0.0092	778613394.312
0.0096	847980032.734
0.01	920322449.162
0.0104	995642580.495
0.0108	1073942360.92
0.0112	1155223721.92
0.0116	1239488592.26
0.012	1326738898.01
0.0124	1416976562.54
0.0128	1510203506.49
0.0132	1606421647.82
0.0136	1705632901.77
0.014	1807839180.9
0.0144	1913042395.05
0.0148	2021244451.36
0.0152	2132447254.28
0.0156	2246652705.55
0.016	2363862704.24
0.0164	2484079146.68
0.0168	2607303926.53
0.0172	2733538934.77
0.0176	2862786059.65
0.018	2995047186.76
0.0184	3130324198.98
0.0188	3268618976.5
0.0192	3409933396.83
0.0196	3554269334.78
0.02	3701628662.48
0.0204	3852013249.37
0.0208	4005424962.19
0.0212	4161865665.03
0.0216	4321337219.26
0.022	4483841483.58
0.0224	4649380314.02
0.0228	4817955563.9
0.0232	4989569083.9
0.0236	5164222721.98
0.024	5341918323.44
0.0244	5522657730.91
0.0248	5706442784.33
0.0252	5893275320.98
0.0256	6083157175.44
0.026	6276090179.65
0.0264	6472076162.85
0.0268	6671116951.62
0.0272	6873214369.87
0.0276	7078370238.84
0.028	7286586377.09
0.0284	7497864600.55
0.0288	7712206722.43
0.0292	7929614553.32
0.0296	8150089901.12
0.03	8373634571.08
0.0304	8600250365.77
0.0308	8829939085.13
0.0312	9062702526.41
0.0316	9298542484.21
0.032	9537460750.48
0.0324	9779459114.51
0.0328	10024539362.9
0.0332	10272703279.7
0.0336	10523952646.2
0.034	10778289241.0
0.0344	11035714840.2
0.0348	11296231217.1
0.0352	11559840142.5
0.0356	11826543384.4
0.036	12096342708.3
0.0364	12369239876.9
0.0368	12645236650.3
0.0372	12924334786.1
0.0376	13206536039.1
0.038	13491842161.4
0.0384	13780254902.7
0.0388	14071776009.9
0.0392	14366407227.2
0.0396	14664150296.3
0.04	14965006956.1
0.0404	15268978943.2
0.0408	15576067991.1
0.0412	15886275831.0
0.0416	16199604191.4
0.042	16516054798.1
0.0424	16835629374.3
0.0428	17158329640.6
0.0432	17484157315.0
0.0436	17813114112.7
0.044	18145201746.6
0.0444	18480421926.5
0.0448	18818776360.1
0.0452	19160266752.1
0.0456	19504894804.7
0.046	19852662217.6
0.0464	20203570687.7
0.0468	20557621909.3
0.0472	20914817574.2
0.0476	21275159371.5
0.048	21638648987.7
0.0484	22005288106.7
0.0488	22375078409.9
0.0492	22748021575.7
0.0496	23124119280.4
0.05001	23503373197.3
0.05041	23885784997.4
0.05081	24271356348.8
0.05121	24660088917.2
0.05161	25051984365.6
0.05201	25447044354.5
0.05241	25845270541.6
0.05281	26246664582.1
0.05321	26651228128.8
0.05361	27058962831.7
0.05401	27469870338.1
0.05441	27883952292.9
0.05481	28301210338.4
0.05521	28721646114.1
0.05561	29145261257.2
0.05601	29572057402.1
0.05641	30002036180.7
0.05681	30435199222.3
0.05721	30871548153.5
0.05761	31311084598.5
0.05801	31753810178.9
0.05841	32199726513.4
0.05881	32648835218.6
0.05921	33101137908.2
0.05961	33556636193.4
0.06001	34015331682.8
0.06041	34477225982.4
0.06081	34942320695.8
0.06121	35410617423.8
0.06161	35882117764.7
0.06201	36356823314.3
0.06241	36834735665.8
0.06281	37315856409.7
0.06321	37800187134.1
0.06361	38287729424.5
0.06401	38778484863.8
0.06441	39272455032.2
0.06481	39769641507.6
0.06521	40270045865.1
0.06561	40773669677.5
0.06601	41280514514.8
0.06641	41790581944.5
0.06681	42303873531.6
0.06721	42820390838.5
0.06761	43340135425.1
0.06801	43863108848.7
0.06841	44389312664.0
0.06881	44918748423.2
0.06921	45451417675.9
0.06961	45987321969.4
0.07001	46526462848.0
0.07041	47068841853.9
0.07081	47614460526.5
0.07121	48163320402.7
0.07161	48715423016.8
0.07201	49270769900.8
0.07241	49829362583.8
0.07281	50391202592.7
0.07321	50956291451.7
0.07361	51524630682.5
0.07401	52096221804.1
0.07441	52671066333.2
0.07481	53249165783.9
0.07521	53830521667.8
0.07561	54415135493.8
0.07601	55003008768.4
0.07641	55594142995.7
0.07681	56188539677.0
0.07721	56786200311.2
0.07761	57387126394.8
0.07801	57991319421.7
0.07841	58598780883.0
0.07881	59209512267.8
0.07921	59823515062.3
0.07961	60440790750.3
0.08001	61061340813.0
0.08041	61685166729.3
0.08081	62312269975.3
0.08121	62942652025.0
0.08161	63576314349.3
0.08201	64213258417.2
0.08241	64853485694.7
0.08281	65496997645.7
0.08321	66143795731.3
0.08361	66793881410.2
0.08401	67447256138.6
0.08441	68103921370.3
0.08481	68763878556.3
0.08521	69427129145.5
0.08561	70093674584.0
0.08601	70763516315.6
0.08641	71436655781.4
0.08681	72113094420.2
0.08721	72792833668.2
0.08761	73475874959.2
0.08801	74162219724.4
0.08841	74851869392.6
0.08881	75544825390.0
0.08921	76241089140.5
0.08961	76940662065.4
0.09001	77643545583.6
0.09041	78349741111.3
0.09081	79059250062.4
0.09121	79772073848.5
0.09161	80488213878.3
0.09201	81207671558.3
0.09241	81930448292.5
0.09281	82656545482.4
0.09321	83385964527.1
0.09361	84118706823.1
0.09401	84854773764.5
0.09441	85594166742.9
0.09481	86336887147.6
0.09521	87082936365.1
0.09561	87832315779.8
0.09601	88585026773.4
0.09641	89341070725.2
0.09681	90100449012.2
0.09721	90863163008.7
0.09761	91629214086.6
0.09801	92398603615.6
0.09841	93171332962.5
0.09881	93947403492.1
0.09921	94726816566.4
0.09961	95509573545.2
0.10001	96295675785.7
0.10041	97085124642.7
0.10081	97877921468.6
0.10121	98674067613.4
0.10161	99473564424.4
0.10201	100276413247.0
0.10241	101082615423.0
0.10281	101892172293.0
0.10321	102705085196.0
0.10361	103521355465.0
0.10401	104340984434.0
0.10441	105163973434.0
0.10481	105990323792.0
0.10521	106820036835.0
0.10561	107653113884.0
0.10601	108489556261.0
0.10641	109329365285.0
0.10681	110172542271.0
0.10721	111019088532.0
0.10761	111869005380.0
0.10801	112722294123.0
0.10841	113578956067.0
0.10881	114438992517.0
0.10921	115302404773.0
0.10961	116169194135.0
0.11001	117039361899.0
0.11041	117912909359.0
0.11081	118789837808.0
0.11121	119670148534.0
0.11161	120553842824.0
0.11201	121440921963.0
0.11241	122331387232.0
0.11281	123225239913.0
0.11321	124122481282.0
0.11361	125023112613.0
0.11401	125927135180.0
0.11441	126834550253.0
0.11481	127745359099.0
0.11521	128659562984.0
0.11561	129577163170.0
0.11601	130498160919.0
0.11641	131422557489.0
0.11681	132350354134.0
0.11721	133281552110.0
0.11761	134216152666.0
0.11801	135154157051.0
0.11841	136095566513.0
0.11881	137040382294.0
0.11921	137988605636.0
0.11961	138940237778.0
0.12001	139895279958.0
0.12041	140853733409.0
0.12081	141815599363.0
0.12121	142780879051.0
0.12161	143749573700.0
0.12201	144721684534.0
0.12241	145697212775.0
0.12281	146676159646.0
0.12321	147658526362.0
0.12361	148644314140.0
0.12401	149633524192.0
0.12441	150626157731.0
0.12481	151622215963.0
0.12521	152621700095.0
0.12561	153624611331.0
0.12601	154630950872.0
0.12641	155640719917.0
0.12681	156653919663.0
0.12721	157670551303.0
0.12761	158690616032.0
0.12801	159714115036.0
0.12841	160741049505.0
0.12881	161771420623.0
0.12921	162805229572.0
0.12961	163842477534.0
0.13001	164883165685.0
0.13041	165927295201.0
0.13081	166974867256.0
0.13121	168025883021.0
0.13161	169080343665.0
0.13201	170138250353.0
0.13241	171199604249.0
0.13281	172264406516.0
0.13321	173332658312.0
0.13361	174404360795.0
0.13401	175479515118.0
0.13441	176558122436.0
0.13481	177640183897.0
0.13521	178725700650.0
0.13561	179814673839.0
0.13601	180907104608.0
0.13641	182002994098.0
0.13681	183102343447.0
0.13721	184205153792.0
0.13761	185311426265.0
0.13801	186421162000.0
0.13841	187534362124.0
0.13881	188651027766.0
0.13921	189771160049.0
0.13961	190894760097.0
0.14001	192021829028.0
0.14041	193152367962.0
0.14081	194286378013.0
0.14121	195423860294.0
0.14161	196564815917.0
0.14201	197709245990.0
0.14241	198857151620.0
0.14281	200008533910.0
0.14321	201163393963.0
0.14361	202321732877.0
0.14401	203483551751.0
0.14441	204648851678.0
0.14481	205817633752.0
0.14521	206989899063.0
0.14561	208165648698.0
0.14601	209344883745.0
0.14641	210527605286.0
0.14681	211713814403.0
0.14721	212903512174.0
0.14761	214096699677.0
0.14801	215293377986.0
0.14841	216493548173.0
0.14881	217697211308.0
0.14921	218904368459.0
0.14961	220115020691.0
0.15002	221329169068.0
0.15042	222546814650.0
0.15082	223767958496.0
0.15122	224992601663.0
0.15162	226220745204.0
0.15202	227452390172.0
0.15242	228687537617.0
0.15282	229926188585.0
0.15322	231168344122.0
0.15362	232414005271.0
0.15402	233663173072.0
0.15442	234915848565.0
0.15482	236172032785.0
0.15522	237431726766.0
0.15562	238694931541.0
0.15602	239961648138.0
0.15642	241231877585.0
0.15682	242505620907.0
0.15722	243782879127.0
0.15762	245063653265.0
0.15802	246347944341.0
0.15842	247635753369.0
0.15882	248927081364.0
0.15922	250221929339.0
0.15962	251520298301.0
0.16002	252822189259.0
0.16042	254127603218.0
0.16082	255436541181.0
0.16122	256749004147.0
0.16162	258064993117.0
0.16202	259384509085.0
0.16242	260707553047.0
0.16282	262034125993.0
0.16322	263364228914.0
0.16362	264697862796.0
0.16402	266035028626.0
0.16442	267375727386.0
0.16482	268719960057.0
0.16522	270067727618.0
0.16562	271419031045.0
0.16602	272773871312.0
0.16642	274132249392.0
0.16682	275494166254.0
0.16722	276859622866.0
0.16762	278228620194.0
0.16802	279601159201.0
0.16842	280977240848.0
0.16882	282356866094.0
0.16922	283740035895.0
0.16962	285126751208.0
0.17002	286517012983.0
0.17042	287910822171.0
0.17082	289308179721.0
0.17122	290709086577.0
0.17162	292113543685.0
0.17202	293521551985.0
0.17242	294933112418.0
0.17282	296348225919.0
0.17322	297766893425.0
0.17362	299189115868.0
0.17402	300614894179.0
0.17442	302044229287.0
0.17482	303477122119.0
0.17522	304913573597.0
0.17562	306353584646.0
0.17602	307797156184.0
0.17642	309244289129.0
0.17682	310694984398.0
0.17722	312149242904.0
0.17762	313607065558.0
0.17802	315068453270.0
0.17842	316533406947.0
0.17882	318001927493.0
0.17922	319474015812.0
0.17962	320949672805.0
0.18002	322428899369.0
0.18042	323911696402.0
0.18082	325398064798.0
0.18122	326888005450.0
0.18162	328381519246.0
0.18202	329878607075.0
0.18242	331379269824.0
0.18282	332883508375.0
0.18322	334391323611.0
0.18362	335902716410.0
0.18402	337417687651.0
0.18442	338936238208.0
0.18482	340458368955.0
0.18522	341984080763.0
0.18562	343513374500.0
0.18602	345046251034.0
0.18642	346582711229.0
0.18682	348122755947.0
0.18722	349666386050.0
0.18762	351213602396.0
0.18802	352764405841.0
0.18842	354318797238.0
0.18882	355876777441.0
0.18922	357438347300.0
0.18962	359003507662.0
0.19002	360572259372.0
0.19042	362144603276.0
0.19082	363720540214.0
0.19122	365300071026.0
0.19162	366883196550.0
0.19202	368469917621.0
0.19242	370060235072.0
0.19282	371654149734.0
0.19322	373251662437.0
0.19362	374852774008.0
0.19402	376457485272.0
0.19442	378065797052.0
0.19482	379677710168.0
0.19522	381293225439.0
0.19562	382912343683.0
0.19602	384535065714.0
0.19642	386161392344.0
0.19682	387791324384.0
0.19722	389424862643.0
0.19762	391062007927.0
0.19802	392702761039.0
0.19842	394347122784.0
0.19882	395995093960.0
0.19922	397646675367.0
0.19962	399301867800.0
0.20002	400960672053.0
0.20042	402623088919.0
0.20082	404289119187.0
0.20122	405958763645.0
0.20162	407632023080.0
0.20202	409308898276.0
0.20242	410989390013.0
0.20282	412673499072.0
