#redshift 	 LCOprime 
0.0	0.0
0.00501	9196652.87621
0.01001	36889938.8072
0.01502	83232850.2597
0.02002	148375723.676
0.02503	232466250.633
0.03003	335649489.444
0.03504	458067877.196
0.04004	599861242.217
0.04505	761166816.95
0.05005	942119251.244
0.05506	1142850626.03
0.06006	1363490467.39
0.06507	1604165760.99
0.07007	1865000966.91
0.07508	2146118034.78
0.08008	2447636419.3
0.08509	2769673096.08
0.09009	3112342577.79
0.0951	3475756930.68
0.1001	3860025791.33
0.10511	4265256383.71
0.11011	4691553536.59
0.11512	5139019701.14
0.12012	5607754968.82
0.12513	6097857089.53
0.13013	6609421490.03
0.13514	7142541292.52
0.14014	7697307333.49
0.14515	8273808182.79
0.15015	8872130162.9
0.15516	9492357368.33
0.16016	10134571685.3
0.16517	10798852811.5
0.17017	11485278276.2
0.17518	12193923460.0
0.18018	12924861615.6
0.18519	13678163887.9
0.19019	14453899334.5
0.1952	15252134946.5
0.2002	16072935669.1
0.20521	16916364422.7
0.21021	17782482123.4
0.21522	18671347704.4
0.22022	19583018137.3
0.22523	20517548452.4
0.23023	21474991761.0
0.23524	22455399275.7
0.24024	23458820332.5
0.24525	24485302411.7
0.25025	25534891159.2
0.25526	26607630408.3
0.26026	27703562200.8
0.26527	28822726808.4
0.27027	29965162754.1
0.27528	31130906833.8
0.28028	32319994137.6
0.28529	33532458070.8
0.29029	34768330375.9
0.2953	36027641153.2
0.3003	37310418882.4
0.30531	38616690443.9
0.31031	39946481139.6
0.31532	41299814714.5
0.32032	42676713377.0
0.32533	44077197820.6
0.33033	45501287244.3
0.33534	46948999373.7
0.34034	48420350481.4
0.34535	49915355407.8
0.35035	51434027581.9
0.35536	52976379041.2
0.36036	54542420452.5
0.36537	56132161131.8
0.37037	57745609064.8
0.37538	59382770926.4
0.38038	61043652101.0
0.38539	62728256702.3
0.39039	64436587592.5
0.3954	66168646402.3
0.4004	67924433550.0
0.40541	69703948261.0
0.41041	71507188586.5
0.41542	73334151423.0
0.42042	75184832530.8
0.42543	77059226552.8
0.43043	78957327032.9
0.43544	80879126434.6
0.44044	82824616159.3
0.44545	84793786564.2
0.45045	86786626980.2
0.45546	88803125729.9
0.46046	90843270145.1
0.46547	92907046584.4
0.47047	94994440450.3
0.47548	97105436206.3
0.48048	99240017394.4
0.48549	101398166651.0
0.49049	103579865725.0
0.4955	105785095493.0
0.5005	108013835975.0
0.50551	110266066353.0
0.51051	112541764985.0
0.51552	114840909421.0
0.52052	117163476420.0
0.52553	119509441963.0
0.53053	121878781271.0
0.53554	124271468819.0
0.54054	126687478350.0
0.54555	129126782891.0
0.55055	131589354767.0
0.55556	134075165617.0
0.56056	136584186406.0
0.56557	139116387440.0
0.57057	141671738381.0
0.57558	144250208258.0
0.58058	146851765485.0
0.58559	149476377870.0
0.59059	152124012630.0
0.5956	154794636406.0
0.6006	157488215273.0
0.60561	160204714753.0
0.61061	162944099831.0
0.61562	165706334961.0
0.62062	168491384087.0
0.62563	171299210647.0
0.63063	174129777589.0
0.63564	176983047381.0
0.64064	179858982027.0
0.64565	182757543070.0
0.65065	185678691613.0
0.65566	188622388323.0
0.66066	191588593444.0
0.66567	194577266810.0
0.67067	197588367852.0
0.67568	200621855613.0
0.68068	203677688752.0
0.68569	206755825561.0
0.69069	209856223972.0
0.6957	212978841564.0
0.7007	216123635578.0
0.70571	219290562925.0
0.71071	222479580192.0
0.71572	225690643655.0
0.72072	228923709289.0
0.72573	232178732772.0
0.73073	235455669500.0
0.73574	238754474591.0
0.74074	242075102896.0
0.74575	245417509006.0
0.75075	248781647263.0
0.75576	252167471764.0
0.76076	255574936373.0
0.76577	259003994727.0
0.77077	262454600245.0
0.77578	265926706132.0
0.78078	269420265394.0
0.78579	272935230836.0
0.79079	276471555076.0
0.7958	280029190552.0
0.8008	283608089526.0
0.80581	287208204089.0
0.81081	290829486177.0
0.81582	294471887568.0
0.82082	298135359891.0
0.82583	301819854638.0
0.83083	305525323162.0
0.83584	309251716690.0
0.84084	312998986325.0
0.84585	316767083053.0
0.85085	320555957752.0
0.85586	324365561192.0
0.86086	328195844046.0
0.86587	332046756892.0
0.87087	335918250220.0
0.87588	339810274438.0
0.88088	343722779876.0
0.88589	347655716792.0
0.89089	351609035377.0
0.8959	355582685760.0
0.9009	359576618010.0
0.90591	363590782148.0
0.91091	367625128144.0
0.91592	371679605926.0
0.92092	375754165383.0
0.92593	379848756369.0
0.93093	383963328710.0
0.93594	388097832204.0
0.94094	392252216630.0
0.94595	396426431749.0
0.95095	400620427307.0
0.95596	404834153043.0
0.96096	409067558689.0
0.96597	413320593975.0
0.97097	417593208634.0
0.97598	421885352404.0
0.98098	426196975033.0
0.98599	430528026281.0
0.99099	434878455922.0
0.996	439248213753.0
1.001	443637249591.0
1.00601	448045513279.0
1.01101	452472954691.0
1.01602	456919523729.0
1.02102	461385170335.0
1.02603	465869844484.0
1.03103	470373496194.0
1.03604	474896075526.0
1.04104	479437532589.0
1.04605	483997817538.0
1.05105	488576880581.0
1.05606	493174671980.0
1.06106	497791142053.0
1.06607	502426241178.0
1.07107	507079919793.0
1.07608	511752128401.0
1.08108	516442817569.0
1.08609	521151937935.0
1.09109	525879440204.0
1.0961	530625275156.0
1.1011	535389393645.0
1.10611	540171746599.0
1.11111	544972285028.0
1.11612	549790960020.0
1.12112	554627722746.0
1.12613	559482524461.0
1.13113	564355316505.0
1.13614	569246050306.0
