#redshift 	 LCOprime 
0.0	0.0
0.0004	91551.2757375
0.0008	366288.512848
0.0012	824336.698203
0.0016	1465820.64808
0.002	2290865.00822
0.0024	3299594.25387
0.0028	4492132.68983
0.0032	5868604.45054
0.0036	7429133.50008
0.004	9173843.63226
0.0044	11102858.4707
0.0048	13216301.4687
0.0052	15514295.9096
0.0056	17996964.9067
0.006	20664431.4031
0.0064	23516818.172
0.0068	26554247.8168
0.0072	29776842.771
0.0076	33184725.2981
0.008	36778017.4923
0.0084	40556841.2776
0.0088	44521318.4086
0.0092	48671570.4705
0.0096	53007718.8786
0.01	57529884.8789
0.0104	62238189.5482
0.0108	67132753.7936
0.0112	72213698.353
0.0116	77481143.7951
0.012	82935210.5194
0.0124	88576018.7564
0.0128	94403688.5671
0.0132	100418339.844
0.0136	106620092.31
0.014	113009065.52
0.0144	119585378.859
0.0148	126349151.544
0.0152	133300502.624
0.0156	140439550.976
0.016	147766415.312
0.0164	155281214.175
0.0168	162984065.937
0.0172	170875088.804
0.0176	178954400.813
0.018	187222119.832
0.0184	195678363.562
0.0188	204323249.533
0.0192	213156895.111
0.0196	222179417.491
0.02	231390933.7
0.0204	240791560.599
0.0208	250381414.879
0.0212	260160613.064
0.0216	270129271.51
0.022	280287506.407
0.0224	290635433.774
0.0228	301173169.464
0.0232	311900829.164
0.0236	322818528.392
0.024	333926382.498
0.0244	345224506.665
0.0248	356713015.911
0.0252	368392025.082
0.0256	380261648.863
0.026	392322001.765
0.0264	404573198.139
0.0268	417015352.162
0.0272	429648577.851
0.0276	442472989.05
0.028	455488699.44
0.0284	468695822.535
0.0288	482094471.68
0.0292	495684760.056
0.0296	509466800.675
0.03	523440706.386
0.0304	537606589.868
0.0308	551964563.635
0.0312	566514740.036
0.0316	581257231.251
0.032	596192149.297
0.0324	611319606.023
0.0328	626639713.112
0.0332	642152582.081
0.0336	657858324.282
0.034	673757050.901
0.0344	689848872.957
0.0348	706133901.305
0.0352	722612246.634
0.0356	739284019.466
0.036	756149330.158
0.0364	773208288.904
0.0368	790461005.729
0.0372	807907590.496
0.0376	825548152.899
0.038	843382802.471
0.0384	861411648.578
0.0388	879634800.419
0.0392	898052367.032
0.0396	916664457.287
0.04	935471179.891
0.0404	954472643.385
0.0408	973668956.146
0.0412	993060226.385
0.0416	1012646562.15
0.042	1032428071.33
0.0424	1052404861.63
0.0428	1072577040.62
0.0432	1092944715.68
0.0436	1113507994.05
0.044	1134266982.77
0.0444	1155221788.75
0.0448	1176372518.72
0.0452	1197719279.26
0.0456	1219262176.77
0.046	1241001317.48
0.0464	1262936807.49
0.0468	1285068752.7
0.0472	1307397258.86
0.0476	1329922431.57
0.048	1352644376.25
0.0484	1375563198.16
0.0488	1398679002.39
0.0492	1421991893.89
0.0496	1445501977.42
0.05001	1469209357.59
0.05041	1493114138.85
0.05081	1517216425.48
0.05121	1541516321.59
0.05161	1566013931.15
0.05201	1590709357.96
0.05241	1615602705.63
0.05281	1640694077.65
0.05321	1665983577.31
0.05361	1691471307.77
0.05401	1717157371.99
0.05441	1743041872.81
0.05481	1769124912.89
0.05521	1795406594.7
0.05561	1821887020.6
0.05601	1848566292.74
0.05641	1875444513.15
0.05681	1902521783.66
0.05721	1929798205.97
0.05761	1957273881.59
0.05801	1984948911.89
0.05841	2012823398.08
0.05881	2040897441.18
0.05921	2069171142.09
0.05961	2097644601.51
0.06001	2126317920.0
0.06041	2155191197.95
0.06081	2184264535.61
0.06121	2213538033.04
0.06161	2243011790.16
0.06201	2272685906.71
0.06241	2302560482.28
0.06281	2332635616.32
0.06321	2362911408.07
0.06361	2393387956.66
0.06401	2424065361.03
0.06441	2454943719.97
0.06481	2486023132.1
0.06521	2517303695.89
0.06561	2548785509.66
