#cubename 	 field 	 f1[GHz] 	 f2[GHz] 	 time[sec]
uid___A001_X1ed_Xaf1.cube_23.J0006-0623_B7 	 J0006-0623 	 282.148150036 	 278.616900036 	 1808.44799995
uid___A001_X1ed_Xf7a.cube_0.J1617-5848_B3 	 J1617-5848 	 86.7096941899 	 85.7878191899 	 7705.15199947
uid___A001_X1ed_Xf7a.cube_0.J1717-3342_B3 	 J1717-3342 	 86.7081628212 	 85.7862878212 	 4161.02400017
uid___A001_X1ee_X135e.cube_01.J1044+0655_B6 	 J1044+0655 	 255.755598061 	 259.927473061 	 2161.1519928
uid___A001_X1ee_X135e.cube_23.J1044+0655_B6 	 J1044+0655 	 245.440671707 	 241.456296707 	 2161.1519928
uid___A001_X1ee_X1d2.cube_0.J1924-2914_B6 	 J1924-2914 	 231.599770865 	 233.615395865 	 2834.49600124
uid___A001_X1ee_X1d2.cube_1.J1924-2914_B6 	 J1924-2914 	 230.048319117 	 232.063944117 	 2834.49600124
uid___A001_X1ee_X1d2.cube_23.J1924-2914_B6 	 J1924-2914 	 218.823395865 	 214.807770865 	 2834.49600124
uid___A001_X1ee_X7b2.cube_0.J2357-5311_B3 	 J2357-5311 	 86.005325 	 84.02095 	 3304.22400093
uid___A001_X1ee_X7b2.cube_1.J2357-5311_B3 	 J2357-5311 	 87.6953124999 	 85.7109374999 	 3304.22400093
uid___A001_X1ee_X7b2.cube_2.J2357-5311_B3 	 J2357-5311 	 96.08345 	 98.067825 	 3304.22400093
uid___A001_X1ee_Xa76.cube_02.J1229+0203_B6 	 J1229+0203 	 228.255760728 	 231.990135728 	 1778.11200047
uid___A001_X1ee_Xa76.cube_1.J1229+0203_B6 	 J1229+0203 	 216.260667759 	 213.698167759 	 1778.11200047
uid___A001_X1ee_Xa9b.cube_01.J1517-2422_B6 	 J1517-2422 	 251.406916336 	 247.297541336 	 2386.94399738
uid___A001_X1ee_Xa9b.cube_01.J1924-2914_B6 	 J1924-2914 	 251.268607082 	 247.284232082 	 2983.68000126
uid___A001_X1ee_Xa9b.cube_23.J1517-2422_B6 	 J1517-2422 	 262.298008007 	 266.407383007 	 2386.94399738
uid___A001_X1ee_Xa9b.cube_23.J1924-2914_B6 	 J1924-2914 	 262.284216726 	 266.268591726 	 2983.68000126
uid___A001_X1ee_Xae3.cube_13.J0541-0211_B7 	 J0541-0211 	 355.477249698 	 359.258499698 	 2886.91199588
uid___A001_X1ee_Xb49.cube_01.J1751+0939_B6 	 J1751+0939 	 226.984375 	 223.015625 	 3540.09600067
uid___A001_X1ee_Xb49.cube_23.J1751+0939_B6 	 J1751+0939 	 239.015625 	 242.984375 	 3540.09600067
uid___A001_X1ee_Xd10.cube_01.J1256-0547_B8 	 J1256-0547 	 480.521501349 	 476.615251349 	 2712.67199993
uid___A001_X1ee_Xd10.cube_01.J1924-2914_B8 	 J1924-2914 	 480.559535961 	 476.575160961 	 3762.04800033
