#redshift 	 LCOprime 
0.0	0.0
0.0004	58599.5781432
0.0008	234451.701068
0.0012	527636.369603
0.0016	938233.475385
0.002	1466322.80089
0.0024	2111984.01948
0.0028	2875296.6954
0.0032	3756340.28385
0.0036	4755194.13101
0.004	5871937.47407
0.0044	7106649.44123
0.0048	8459409.0518
0.0052	9930295.21619
0.0056	11519386.7359
0.006	13226762.3038
0.0064	15052500.5036
0.0068	16996679.8107
0.0072	19059378.5915
0.0076	21240675.1037
0.008	23540647.4965
0.0084	25959373.8103
0.0088	28496931.9772
0.0092	31153399.8206
0.0096	33928855.0552
0.01	36823375.2875
0.0104	39837038.0154
0.0108	42969920.6286
0.0112	46222100.4082
0.0116	49593654.5271
0.012	53084660.0498
0.0124	56695193.9327
0.0128	60425333.0238
0.0132	64275154.063
0.0136	68244733.682
0.014	72334148.4046
0.0144	76543474.6462
0.0148	80872788.7143
0.0152	85322166.8085
0.0156	89891685.0203
0.016	94581419.3333
0.0164	99391445.6233
0.0168	104321839.658
0.0172	109372677.098
0.0176	114544033.494
0.018	119835984.292
0.0184	125248604.829
0.0188	130781970.333
0.0192	136436155.927
0.0196	142211236.623
0.02	148107287.329
0.0204	154124382.843
0.0208	160262597.857
0.0212	166522006.954
0.0216	172902684.612
0.022	179404705.198
0.0224	186028142.977
0.0228	192773072.1
0.0232	199639566.618
0.0236	206627700.468
0.024	213737547.485
0.0244	220969181.394
0.0248	228322675.814
0.0252	235798104.256
0.0256	243395540.126
0.026	251115056.721
0.0264	258956727.232
0.0268	266920624.744
0.0272	275006822.232
0.0276	283215392.568
0.028	291546408.514
0.0284	299999942.729
0.0288	308576067.761
0.0292	317274856.055
0.0296	326096379.947
0.03	335040711.668
0.0304	344107923.341
0.0308	353298086.984
0.0312	362611274.508
0.0316	372047557.717
0.032	381607008.309
0.0324	391289697.877
0.0328	401095697.906
0.0332	411025079.775
0.0336	421077914.757
0.034	431254274.02
0.0344	441554228.624
0.0348	451977849.525
0.0352	462525207.57
0.0356	473196373.504
0.036	483991417.963
0.0364	494910411.478
0.0368	505953424.474
0.0372	517120527.271
0.0376	528411790.082
0.038	539827283.016
0.0384	551367076.074
0.0388	563031239.154
0.0392	574819842.046
0.0396	586732954.436
0.04	598770645.904
0.0404	610932985.925
0.0408	623220043.867
0.0412	635631888.995
0.0416	648168590.467
0.042	660830217.336
0.0424	673616838.55
0.0428	686528522.952
0.0432	699565339.28
0.0436	712727356.167
0.044	726014642.138
0.0444	739427265.618
0.0448	752965294.924
0.0452	766628798.268
0.0456	780417843.758
0.046	794332499.397
0.0464	808372833.083
0.0468	822538912.609
0.0472	836830805.664
0.0476	851248579.832
0.048	865792302.593
0.0484	880462041.321
0.0488	895257863.287
0.0492	910179835.657
0.0496	925228025.492
0.05001	940402499.749
0.05041	955703325.281
0.05081	971130568.837
0.05121	986684297.061
0.05161	1002364576.49
0.05201	1018171473.57
0.05241	1034105054.62
0.05281	1050165385.87
0.05321	1066352533.46
0.05361	1082666563.39
0.05401	1099107541.58
0.05441	1115675533.85
0.05481	1132370605.9
0.05521	1149192823.34
0.05561	1166142251.67
0.05601	1183218956.28
0.05641	1200423002.48
0.05681	1217754455.44
0.05721	1235213380.26
0.05761	1252799841.92
0.05801	1270513905.3
0.05841	1288355635.18
0.05881	1306325096.22
0.05921	1324422353.0
