#redshift 	 LCOprime 
0.0	0.0
0.00501	14368112.0242
0.01001	57633878.3775
0.01502	130036322.206
0.02002	231810317.096
0.02503	363186604.508
0.03003	524391811.903
0.03504	715648471.551
0.04004	937175040.002
0.04505	1189185918.21
0.05005	1471891472.28
0.05506	1785498054.86
0.06006	2130208027.1
0.06507	2506219781.22
0.07007	2913727763.63
0.07508	3352922498.65
0.08008	3823990612.72
0.08509	4327114859.12
0.09009	4862474143.29
0.0951	5430243548.51
0.1001	6030594362.17
0.10511	6663694102.41
0.11011	7329706545.27
0.11512	8028791752.23
0.12012	8761106098.14
0.12513	9526802299.64
0.13013	10326029443.8
0.13514	11158933017.2
0.14014	12025654935.7
0.14515	12926333573.5
0.15015	13861103793.9
0.15516	14830096979.6
0.16016	15833441062.9
0.16517	16871260557.2
0.17017	17943676587.8
0.17518	19050806923.6
0.18018	20192766008.5
0.18519	21369664993.6
0.19019	22581611769.0
0.1952	23828710996.2
0.2002	25111064140.5
0.20521	26428769503.3
0.21021	27781922255.4
0.21522	29170614469.4
0.22022	30594935152.6
0.22523	32054970280.4
0.23023	33550802829.4
0.23524	35082512810.3
0.24024	36650177301.5
0.24525	38253870482.3
0.25025	39893663666.6
0.25526	41569625335.6
0.26026	43281821172.2
0.26527	45030314093.6
0.27027	46815164285.3
0.27528	48636429234.0
0.28028	50494163761.7
0.28529	52388420058.3
0.29029	54319247715.4
0.2953	56286693759.6
0.3003	58290802685.3
0.30531	60331616488.1
0.31031	62409174697.9
0.31532	64523514411.6
0.32032	66674670326.2
0.32533	68862674771.4
0.33033	71087557742.2
0.33534	73349346931.5
0.34034	75648067762.5
0.34535	77983743420.7
0.35035	80356394886.3
0.35536	82766040965.9
0.36036	85212698324.2
0.36537	87696381516.1
0.37037	90217103017.5
0.37538	92774873256.9
0.38038	95369700646.6
0.38539	98001591613.1
0.39039	100670550628.0
0.3954	103376580240.0
0.4004	106119681102.0
0.40541	108899852003.0
0.41041	111717089900.0
0.41542	114571389943.0
0.42042	117462745508.0
0.42543	120391148227.0
0.43043	123356588012.0
0.43544	126359053090.0
0.44044	129398530026.0
0.44545	132475003755.0
0.45045	135588457609.0
0.45546	138738873345.0
0.46046	141926231169.0
0.46547	145150509770.0
0.47047	148411686343.0
0.47548	151709736613.0
0.48048	155044634869.0
0.48549	158416353983.0
0.49049	161824865440.0
0.4955	165270139364.0
0.5005	168752144541.0
0.50551	172270848444.0
0.51051	175826217263.0
0.51552	179418215925.0
0.52052	183046808117.0
0.52553	186711956316.0
0.53053	190413621809.0
0.53554	194151764717.0
0.54054	197926344019.0
0.54555	201737317574.0
0.55055	205584642145.0
0.55556	209468273423.0
0.56056	213388166047.0
0.56557	217344273623.0
0.57057	221336548755.0
0.57558	225364943058.0
0.58058	229429407181.0
0.58559	233529890833.0
0.59059	237666342795.0
0.5956	241838710949.0
0.6006	246046942294.0
0.60561	250290982966.0
0.61061	254570778256.0
0.61562	258886272636.0
0.62062	263237409769.0
0.62563	267624132536.0
0.63063	272046383051.0
0.63564	276504102676.0
0.64064	280997232048.0
0.64565	285525711088.0
0.65065	290089479022.0
0.65566	294688474402.0
0.66066	299322635117.0
0.66567	303991898414.0
0.67067	308696200911.0
0.67568	313435478619.0
0.68068	318209666953.0
0.68569	323018700750.0
0.69069	327862514285.0
0.6957	332741041286.0
0.7007	337654214948.0
0.70571	342601967951.0
0.71071	347584232472.0
0.71572	352600940201.0
0.72072	357652022353.0
0.72573	362737409688.0
0.73073	367857032515.0
0.73574	373010820718.0
0.74074	378198703757.0
0.74575	383420610691.0
0.75075	388676470185.0
0.75576	393966210526.0
0.76076	399289759635.0
0.76577	404647045077.0
0.77077	410037994077.0
0.77578	415462533529.0
0.78078	420920590009.0
0.78579	426412089788.0
0.79079	431936958839.0
0.7958	437495122852.0
0.8008	443086507246.0
0.80581	448711037176.0
0.81081	454368637545.0
0.81582	460059233017.0
0.82082	465782748023.0
0.82583	471539106774.0
0.83083	477328233272.0
0.83584	483150051316.0
0.84084	489004484513.0
0.84585	494891456289.0
0.85085	500810889897.0
0.85586	506762708427.0
0.86086	512746834811.0
0.86587	518763191839.0
0.87087	524811702159.0
0.87588	530892288294.0
0.88088	537004872643.0
0.88589	543149377492.0
0.89089	549325725025.0
0.8959	555533837325.0
0.9009	561773636387.0
0.90591	568045044126.0
0.91091	574347982379.0
0.91592	580682372918.0
0.92092	587048137453.0
0.92593	593445197642.0
0.93093	599873475094.0
0.93594	606332891381.0
0.94094	612823368040.0
0.94595	619344826579.0
0.95095	625897188490.0
0.95596	632480375245.0
0.96096	639094308312.0
0.96597	645738909153.0
0.97097	652414099234.0
0.97598	659119800031.0
0.98098	665855933032.0
0.98599	672622419746.0
0.99099	679419181708.0
0.996	686246140480.0
1.001	693103217663.0
1.00601	699990334896.0
1.01101	706907413863.0
1.01602	713854376300.0
1.02102	720831143994.0
1.02603	727837638795.0
1.03103	734873782614.0
1.03604	741939497431.0
1.04104	749034705297.0
1.04605	756159328341.0
1.05105	763313288771.0
1.05606	770496508881.0
1.06106	777708911052.0
1.06607	784950417757.0
1.07107	792220951566.0
1.07608	799520435148.0
1.08108	806848791274.0
1.08609	814205942822.0
1.09109	821591812781.0
1.0961	829006324251.0
1.1011	836449400451.0
1.10611	843920964716.0
1.11111	851420940506.0
1.11612	858949251406.0
1.12112	866505821130.0
1.12613	874090573521.0
1.13113	881703432558.0
1.13614	889344322357.0
1.14114	897013167171.0
1.14615	904709891396.0
1.15115	912434419575.0
1.15616	920186676392.0
1.16116	927966586686.0
1.16617	935774075444.0
1.17117	943609067807.0
1.17618	951471489072.0
1.18118	959361264695.0
1.18619	967278320290.0
1.19119	975222581635.0
1.1962	983193974670.0
1.2012	991192425501.0
1.20621	999217860403.0
1.21121	1.00727020582e+12
1.21622	1.01534938836e+12
1.22122	1.02345533482e+12
1.22623	1.03158797216e+12
1.23123	1.03974722751e+12
1.23624	1.04793302819e+12
1.24124	1.05614530169e+12
1.24625	1.06438397569e+12
1.25125	1.07264897803e+12
1.25626	1.08094023677e+12
1.26126	1.08925768012e+12
1.26627	1.09760123648e+12
1.27127	1.10597083446e+12
1.27628	1.11436640284e+12
1.28128	1.12278787058e+12
1.28629	1.13123516685e+12
1.29129	1.139708221e+12
1.2963	1.14820696258e+12
1.3013	1.15673132131e+12
1.30631	1.16528122714e+12
