#Galaxies from Shark (Lagos et al. 2018, 2019) using CO modelling of Lagos et al. (2012)
#CO LFs for lines (1-0) to (10-9)
#Units of CO luminosity in [Jy km/s Mpc^2] and presented in log10
#Units number density [Mpc^-3 dex^-1] and presented in log10
#log10(LCO) logn1-0 logn2-1 logn3-2 logn4-3 logn5-4 logn6-5 logn7-6 logn8-7 logn9-8 logn10-9
 4.12 -0.95 -0.45 -0.45 -0.49 -0.40 -0.56 -0.85 -1.28 -1.64 -1.79
 4.38 -1.12 -0.56 -0.42 -0.41 -0.48 -0.68 -1.00 -1.46 -1.71 -1.84
 4.62 -1.28 -0.69 -0.54 -0.51 -0.60 -0.83 -1.19 -1.58 -1.76 -1.92
 4.88 -1.42 -0.86 -0.66 -0.63 -0.73 -0.99 -1.38 -1.67 -1.81 -2.03
 5.12 -1.53 -1.04 -0.82 -0.77 -0.90 -1.16 -1.53 -1.74 -1.86 -2.17
 5.38 -1.63 -1.21 -1.00 -0.95 -1.06 -1.35 -1.63 -1.79 -1.93 -2.43
 5.62 -1.71 -1.37 -1.16 -1.12 -1.23 -1.50 -1.71 -1.84 -2.02 -2.78
 5.88 -1.77 -1.49 -1.33 -1.29 -1.41 -1.61 -1.77 -1.89 -2.15 -3.14
 6.12 -1.82 -1.60 -1.47 -1.44 -1.53 -1.69 -1.82 -1.95 -2.39 -3.55
 6.38 -1.87 -1.68 -1.58 -1.56 -1.63 -1.76 -1.87 -2.02 -2.73 -4.05
 6.62 -1.93 -1.75 -1.66 -1.65 -1.71 -1.82 -1.93 -2.15 -3.14 -4.67
 6.88 -2.01 -1.81 -1.74 -1.72 -1.78 -1.87 -1.98 -2.36 -3.58 -5.16
 7.12 -2.11 -1.87 -1.80 -1.79 -1.83 -1.92 -2.06 -2.71 -4.12 -5.89
 7.38 -2.28 -1.94 -1.86 -1.84 -1.89 -1.98 -2.19 -3.15 -4.77  -99
 7.62 -2.56 -2.02 -1.93 -1.91 -1.95 -2.05 -2.42 -3.62 -5.22  -99
 7.88 -2.91 -2.13 -2.01 -1.98 -2.02 -2.16 -2.78 -4.23 -6.06  -99
 8.12 -3.38 -2.33 -2.11 -2.07 -2.12 -2.36 -3.22 -4.78  -99  -99
 8.38 -3.91 -2.65 -2.31 -2.22 -2.30 -2.66 -3.74 -5.52  -99  -99
 8.62 -4.51 -3.06 -2.60 -2.48 -2.58 -3.07 -4.35  -99  -99  -99
 8.88 -5.25 -3.58 -3.01 -2.84 -2.97 -3.58 -5.04  -99  -99  -99
 9.12 -6.36 -4.09 -3.51 -3.31 -3.46 -4.12 -5.67  -99  -99  -99
 9.38 -6.36 -4.78 -4.06 -3.81 -4.01 -4.78  -99  -99  -99  -99
 9.62  -99 -5.59 -4.68 -4.43 -4.59 -5.41  -99  -99  -99  -99
 9.88  -99 -6.36 -5.36 -5.09 -5.32 -6.36  -99  -99  -99  -99
10.12  -99  -99 -6.06 -6.06 -6.36  -99  -99  -99  -99  -99
10.38  -99  -99  -99 -6.36  -99  -99  -99  -99  -99  -99
10.62  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
10.88  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.12  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.38  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.62  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.88  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
