#Galaxies from Shark (Lagos et al. 2018, 2019) using CO modelling of Lagos et al. (2012)
#CO LFs for lines (1-0) to (10-9)
#Units of CO luminosity in [Jy km/s Mpc^2] and presented in log10
#Units number density [Mpc^-3 dex^-1] and presented in log10
#log10(LCO) logn1-0 logn2-1 logn3-2 logn4-3 logn5-4 logn6-5 logn7-6 logn8-7 logn9-8 logn10-9
 4.12 -0.81 -0.66 -0.94 -1.05 -0.75 -0.55 -0.75 -1.14 -1.57 -1.80
 4.38 -1.00 -0.57 -0.67 -0.70 -0.61 -0.63 -0.88 -1.33 -1.67 -1.89
 4.62 -1.19 -0.64 -0.55 -0.57 -0.57 -0.73 -1.06 -1.50 -1.75 -2.02
 4.88 -1.37 -0.74 -0.62 -0.60 -0.67 -0.86 -1.26 -1.62 -1.83 -2.18
 5.12 -1.50 -0.90 -0.71 -0.69 -0.77 -1.04 -1.44 -1.71 -1.92 -2.38
 5.38 -1.60 -1.09 -0.85 -0.81 -0.93 -1.23 -1.57 -1.79 -2.03 -2.61
 5.62 -1.69 -1.28 -1.04 -0.99 -1.12 -1.42 -1.68 -1.86 -2.19 -2.89
 5.88 -1.77 -1.44 -1.23 -1.18 -1.31 -1.55 -1.76 -1.95 -2.38 -3.26
 6.12 -1.86 -1.55 -1.40 -1.36 -1.47 -1.66 -1.83 -2.06 -2.62 -3.74
 6.38 -1.95 -1.65 -1.53 -1.50 -1.59 -1.74 -1.92 -2.22 -2.90 -4.23
 6.62 -2.07 -1.74 -1.63 -1.61 -1.69 -1.82 -2.01 -2.41 -3.30 -4.82
 6.88 -2.21 -1.83 -1.72 -1.71 -1.77 -1.91 -2.13 -2.65 -3.81 -5.89
 7.12 -2.41 -1.95 -1.82 -1.79 -1.86 -2.01 -2.29 -2.95 -4.34  Nan
 7.38 -2.65 -2.07 -1.93 -1.89 -1.96 -2.12 -2.49 -3.37 -5.02  Nan
 7.62 -2.99 -2.23 -2.05 -2.02 -2.08 -2.27 -2.75 -3.93 -5.89  Nan
 7.88 -3.41 -2.44 -2.20 -2.15 -2.22 -2.47 -3.11 -4.47  Nan  Nan
 8.12 -3.99 -2.69 -2.41 -2.33 -2.41 -2.71 -3.57 -5.41  Nan  Nan
 8.38 -4.59 -3.02 -2.64 -2.55 -2.64 -3.05 -4.15 -6.06  Nan  Nan
 8.62 -5.41 -3.49 -2.96 -2.83 -2.96 -3.50 -4.81  Nan  Nan  Nan
 8.88 -6.06 -4.03 -3.41 -3.23 -3.39 -4.04 -5.76  Nan  Nan  Nan
 9.12  Nan -4.73 -3.94 -3.75 -3.92 -4.74 -6.36  Nan  Nan  Nan
 9.38  Nan -5.89 -4.62 -4.34 -4.58 -5.52  Nan  Nan  Nan  Nan
 9.62  Nan -6.06 -5.46 -5.02 -5.36 -6.36  Nan  Nan  Nan  Nan
 9.88  Nan  Nan -6.06 -5.89 -6.06  Nan  Nan  Nan  Nan  Nan
10.12  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
10.38  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
10.62  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
10.88  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
11.12  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
11.38  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
11.62  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
11.88  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
