#cubename 	 field 	band  f1[GHz] 	 f2[GHz] 	 time[sec]
uid___A001_X1b1_X74.cube_03.J1924-2914_B7.image 	 J1924-2914 7	 294.911612687 	 297.770987687 	 14467.5840006
uid___A001_X1b1_X74.cube_1.J1924-2914_B7.image 	 	 J1924-2914 7	 282.884649068 	 281.962774068 	 14467.5840006
uid___A001_X1b1_X74.cube_2.J1924-2914_B7.image 	 	 J1924-2914 7 	 284.984480851 	 284.062605851 	 14467.5840006
uid___A001_X1b1_Xba_01.cube_01.J0348-2749_B6.image 	 J0348-2749 6	 247.984003967 	 244.124628967 	 3810.23999691
uid___A001_X1b1_Xba_01.cube_23.J0348-2749_B6.image 	 J0348-2749 6	 259.124434153 	 262.983809153 	 3810.23999691
uid___A001_X1b1_Xba_02.cube_01.J0334-4008_B6.image 	 J0334-4008 6	 256.967242288 	 253.123492288 	 3439.29599953
uid___A001_X1b1_Xba_02.cube_01.J0348-2749_B6.image 	 J0348-2749 6	 256.982867288 	 253.123492288 	 4713.40799332
uid___A001_X1b1_Xba_02.cube_23.J0334-4008_B6.image 	 J0334-4008 6	 268.123237278 	 271.966987278 	 3439.29599953
uid___A001_X1b1_Xba_02.cube_23.J0348-2749_B6.image 	 J0348-2749 6	 268.123237278 	 271.982612278 	 4713.40799332
uid___A001_X1b1_Xd.cube_01.J1924-2914_B7.image 		 J1924-2914 7	 347.944871352 	 344.210496352 	 3601.72800065
uid___A001_X1b1_Xd.cube_23.J1924-2914_B7.image 	 	 J1924-2914 7	 356.085496352 	 359.944871352 	 3601.72800065
uid___A001_X1ed_X108a.cube_01.J1832-2039_B7.image 	 J1832-2039 7	 339.41645 	 335.5102 	 3640.89600563
uid___A001_X1ed_X108a.cube_01.J1924-2914_B7.image 	 J1924-2914 7	 339.41645 	 335.5102 	 5249.9519987
uid___A001_X1ed_X108a.cube_23.J1832-2039_B7.image 	 J1832-2039 7	 347.5102 	 351.47895 	 3640.89600563
uid___A001_X1ed_X108a.cube_23.J1924-2914_B7.image 	 J1924-2914 7	 347.5102 	 351.47895 	 5249.9519987
uid___A001_X1ed_X11bf.cube_01.J1256-0547_B6.image 	 J1256-0547 6	 220.897858227 	 217.179108227 	 2963.5199995
uid___A001_X1ed_X11bf.cube_23.J1256-0547_B6.image 	 J1256-0547 6	 231.971293445 	 235.705668445 	 2963.5199995
uid___A001_X1ed_X351.cube_01.J1229+0203_B7.image 	 J1229+0203 7	 325.109289552 	 321.453039552 	 2712.67199993
uid___A001_X1ed_X351.cube_23.J1229+0203_B7.image 	 J1229+0203 7	 333.452396638 	 337.108646638 	 2712.67199993
uid___A001_X1ed_X484.cube_02.J0510+1800_B7.image 	 J0510+1800 7	 346.232845365 	 342.310970365 	 3601.72800065
uid___A001_X1ed_X484.cube_13.J0510+1800_B7.image 	 J0510+1800 7	 354.355209824 	 358.230209824 	 3601.72800065
uid___A001_X1ed_X4b0.cube_01.J0334-4008_B6.image 	 J0334-4008 6	 258.8921875 	 254.9078125 	 2685.31199741
uid___A001_X1ed_X4b0.cube_01.J0348-2749_B6.image 	 J0348-2749 6	 258.8921875 	 254.9078125 	 4064.25600529
uid___A001_X1ed_X4b0.cube_23.J0334-4008_B6.image 	 J0334-4008 6	 270.9078125 	 274.8921875 	 2685.31199741
uid___A001_X1ed_X4b0.cube_23.J0348-2749_B6.image 	 J0348-2749 6	 270.9078125 	 274.8921875 	 4064.25600529
uid___A001_X1ed_Xabc.cube_03.J1924-2914_B9.image 	 J1924-2914 9	 684.389208631 	 688.248583631 	 11735.4719992
