#Galaxies from Shark (Lagos et al. 2018, 2019) using CO modelling of Lagos et al. (2012)
#CO LFs for lines (1-0) to (10-9)
#Units of CO luminosity in [Jy km/s Mpc^2] and presented in log10
#Units number density [Mpc^-3 dex^-1] and presented in log10
#log10(LCO) logn1-0 logn2-1 logn3-2 logn4-3 logn5-4 logn6-5 logn7-6 logn8-7 logn9-8 logn10-9
 4.12 -1.00 -0.49 -0.35 -0.34 -0.40 -0.62 -0.93 -1.39 -1.70 -1.81
 4.38 -1.16 -0.61 -0.46 -0.44 -0.53 -0.76 -1.09 -1.54 -1.75 -1.84
 4.62 -1.32 -0.76 -0.58 -0.56 -0.66 -0.90 -1.29 -1.65 -1.80 -1.89
 4.88 -1.46 -0.94 -0.73 -0.69 -0.81 -1.05 -1.47 -1.73 -1.84 -1.98
 5.12 -1.58 -1.11 -0.90 -0.86 -0.96 -1.25 -1.60 -1.78 -1.86 -2.20
 5.38 -1.66 -1.28 -1.07 -1.02 -1.13 -1.43 -1.69 -1.83 -1.89 -2.61
 5.62 -1.73 -1.43 -1.24 -1.19 -1.32 -1.56 -1.76 -1.87 -1.96 -3.05
 5.88 -1.80 -1.55 -1.40 -1.37 -1.47 -1.67 -1.82 -1.89 -2.13 -3.57
 6.12 -1.84 -1.64 -1.53 -1.51 -1.59 -1.74 -1.86 -1.91 -2.49 -4.07
 6.38 -1.88 -1.72 -1.63 -1.61 -1.68 -1.81 -1.90 -1.95 -2.96 -4.70
 6.62 -1.92 -1.79 -1.71 -1.69 -1.76 -1.85 -1.92 -2.09 -3.52 -5.41
 6.88 -1.96 -1.84 -1.78 -1.77 -1.82 -1.90 -1.94 -2.38 -4.10 -5.76
 7.12 -2.05 -1.88 -1.83 -1.82 -1.87 -1.92 -1.99 -2.86 -4.78  -99
 7.38 -2.18 -1.92 -1.87 -1.87 -1.90 -1.95 -2.11 -3.44 -5.36 -6.06
 7.62 -2.40 -1.96 -1.91 -1.90 -1.93 -1.99 -2.38 -4.06 -5.89  -99
 7.88 -2.74 -2.06 -1.96 -1.94 -1.97 -2.08 -2.82 -4.75 -6.36  -99
 8.12 -3.24 -2.24 -2.04 -2.01 -2.05 -2.26 -3.42 -5.25 -6.36  -99
 8.38 -3.76 -2.53 -2.22 -2.14 -2.20 -2.58 -4.01 -6.36  -99  -99
 8.62 -4.36 -2.98 -2.51 -2.38 -2.48 -3.08 -4.64 -6.06  -99  -99
 8.88 -5.09 -3.52 -2.94 -2.76 -2.90 -3.66 -5.41  -99  -99  -99
 9.12 -5.89 -4.08 -3.49 -3.30 -3.48 -4.27 -5.89  -99  -99  -99
 9.38  -99 -4.74 -4.06 -3.85 -4.01 -4.98  -99  -99  -99  -99
 9.62  -99 -5.29 -4.70 -4.42 -4.65 -5.52  -99  -99  -99  -99
 9.88  -99  -99 -5.36 -5.16 -5.36  -99  -99  -99  -99  -99
10.12  -99  -99 -6.06 -5.89 -6.06  -99  -99  -99  -99  -99
10.38  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
10.62  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
10.88  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.12  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.38  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.62  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.88  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
